Suburb,Direction,Distance (km)
Mascot,South,7.2
Matcham,North,53.9
Matraville,South,10.3
Mays Hill,West,20.7
McGraths Hill,North-west,44.3
McMahons Point,North,2.5
Meadowbank,West,12.2
Melrose Park,West,13.4
Menai,South-west,24
Menangle,South-west,51.8
Menangle Park,South-west,50.2
Merewether,North-east,114.7
Merewether Heights,North-east,113.5
Merrylands,West,20.4
Merrylands West,West,22.1
Middle Cove,North,8.1
Middle Dural,North-west,30
Middleton Grange,West,34.2
Miller,West,30.3
Millers Point,North,1
Milperra,West,21.6
Milsons Point,North,2.2
Minchinbury,West,37.6
Minto,West,37.9
Minto Heights,South-west,38.8
Miranda,South-west,21
Mirrabooka,North,90.3
Mittagong,South-west,95.4
Mona Vale,North-east,22.8
Monterey,South-west,12.9
Mooney Mooney,North,37.8
Moore Park,South,3.8
Moorebank,West,24.6
Morisset,North,88.4
Mortdale,South-west,16.4
Mortlake,West,9.6
Mosman,North-east,5.4
Moss Vale,South-west,107.9
Mount Annan,West,45.9
Mount Colah,North,23.4
Mount Druitt,West,37.8
Mount Hunter,West,57
Mount Hutton,North-east,107.2
Mount Keira,South-west,68.8
Mount Kuring-gai,North,24.4
Mount Lewis,West,15.7
Mount Ousley,South-west,66.4
Mount Pleasant,South-west,66.9
Mount Pritchard,West,28.3
Mount Riverview,West,55.5
Mount Saint Thomas,South-west,71.1
Mount Vernon,West,36.8
Mount Victoria,West,93.8
Mount Warrigal,South-west,83.3
Mulgoa,West,51.7
Mulgrave,North-west,44.2
Narara,North,54
Narellan,West,47.6
Narellan Vale,West,47.6
Naremburn,North,5.6
Narrabeen,North-east,17.7
Narraweena,North-east,14.5
Narwee,South-west,15.6
Nelson,North-west,36.1
Neutral Bay,North,3.8
New Lambton,North-east,115.1
New Lambton Heights,North-east,113.3
Newcastle West,North-east,116.7
Newington,West,14.4
Newport,North,24.9
Newtown,South-west,4.1
Niagara Park,North,55.7
Norah Head,North-east,73
Noraville,North-east,74.5
Nords Wharf,North-east,89.5
Normanhurst,North-west,19.2
North Avoca,North-east,50.1
North Balgowlah,North-east,9.8
North Bondi,East,7
North Curl Curl,North-east,14.3
North Epping,North-west,16.3
North Gosford,North,51.8
North Lambton,North-east,116.7
North Manly,North-east,11.7
North Narrabeen,North-east,20
North Parramatta,West,19.7
North Richmond,North-west,55
North Rocks,North-west,19.9
North Ryde,North-west,11
North St Marys,West,40.7
North Strathfield,West,10.7
North Sydney,North,3.2
North Turramurra,North,18
North Wahroonga,North-west,19.6
North Willoughby,North,7.4
North Wollongong,South-west,67.2
Northbridge,North,6.3
Northmead,West,21.4
Northwood,North-west,5
Oakdale,West,68.2
Oakhurst,West,37.1
Oakville,North-west,39.1
Oatlands,West,18.5
Oatley,South-west,17.1
Old Guildford,West,20.2
Old Toongabbie,West,23.1
Oran Park,West,47.1
Orangeville,West,59.4
Orchard Hills,West,47
Otford,South-west,43
Ourimbah,North,58.5
Oxford Falls,North,14.6
Oxley Park,West,39.8
Oyster Bay,South-west,19.4
Paddington,South-east,2.7
Padstow,South-west,18.4
Padstow Heights,South-west,20
Pagewood,South,7.9
Palm Beach,North,31.1
Panania,West,21.7
Parklea,West,31
Parramatta,West,19.6
Patonga,North,35.8
Peakhurst,South-west,16.9
Peakhurst Heights,South-west,17.8
Pearl Beach,North,37.6
Peats Ridge,North,61.4
Pemulwuy,West,27.1
Pendle Hill,West,24.4
Pennant Hills,North-west,19
Penrith,West,49.3
Penshurst,South-west,15.4
Petersham,South-west,5.9
Pheasants Nest,South-west,67.3
Phegans Bay,North,43.2
Phillip Bay,South,12.9
Picketts Valley,North-east,49.7
Picnic Point,South-west,22.8
Picton,South-west,65.8
Pitt Town,North-west,44.9
Pleasure Point,West,23.1
Plumpton,West,36.2
Point Clare,North,49.1
Point Frederick,North,48.1
Point Piper,East,4.2
Port Hacking,South,23.6
Potts Point,East,1.5
Prairiewood,West,28.2
Prestons,West,32.1
Pretty Beach,North,40.3
Primbee,South-west,76.6
Prospect,West,27.9
Punchbowl,West,15.5
Putney,West,9.9
Pymble,North-west,15
Pyrmont,West,1.3
Quakers Hill,West,33.9
Queens Park,South-east,5.5
Queenscliff,North-east,11.8
Raby,West,40.4
Ramsgate,South-west,14.5
Ramsgate Beach,South-west,13.8
Randwick,South-east,6.1
Randwick North,South-east,6.1
Rankin Park,North-east,113.8
Rathmines,North,98.8
Razorback,West,58.3
Redfern,South,2.9
Redhead,North-east,106.1
Regents Park,West,17
Regentville,West,51
Revesby,West,19.9
Revesby Heights,South-west,21
Rhodes,West,11.7
Richmond,North-west,51.6
Riverstone,North-west,38.2
Riverview,North-west,6.4
Riverwood,South-west,17
Rockdale,South-west,11.5
Rodd Point,West,6.1
Rooty Hill,West,35.2
Ropes Crossing,West,42.4
Rose Bay,East,5.7
Rosebery,South,5.9
Rosehill,West,17.7
Roselands,West,14.4
Rosemeadow,South-west,45.8
Roseville,North,9.6
Roseville Chase,North,10.2
Rossmore,West,41.2
Rouse Hill,North-west,34
Rozelle,West,3.4
Ruse,South-west,40.4
Rushcutters Bay,East,2.2
Russell Lea,West,6.2
Russell Vale,South-west,61.2
Rydalmere,West,16.5
Ryde,North-west,11.2
Sackville,North-west,51
Sackville North,North-west,51.9
Sadleir,West,30.1
San Remo,North,78.6
Sandringham,South-west,15.9
Sandy Point,South-west,23.2
Sans Souci,South-west,15.4
Saratoga,North,45.7
Scarborough,South-west,50.3
Schofields,North-west,36.6
Scotland Island,North,26.2
Seaforth,North,8.9
Sefton,West,18.2
Seven Hills,West,27.2
Shalvey,West,39.9
Shanes Park,West,43.1
Shelly Beach,North-east,61.2
Silverdale,West,58.5
Silverwater,West,15.2
Smeaton Grange,West,46.4
Smithfield,West,24.7
Somersby,North,57.2
South Coogee,South-east,8.5
South Granville,West,18.6
South Hurstville,South-west,15.5
South Maroota,North-west,46.7
South Penrith,West,47.9
South Turramurra,North-west,16
South Wentworthville,West,22.5
South Windsor,North-west,46.3
Speers Point,North,107
Spencer,North,45.7
Spring Farm,West,50.9
Springfield,North,50.9
Springwood,West,62.8
St Albans,North,67.8
St Andrews,West,38.5
St Clair,West,39.4
St Helens Park,South-west,46.6
St Huberts Island,North,43.3
St Ives,North,15.8
St Ives Chase,North,17.9
St Johns Park,West,28
St Leonards,North,5
St Marys,West,41.6
St Peters,South-west,5.5
Stanhope Gardens,North-west,30.7
Stanmore,South-west,5.1
Stanwell Park,South-west,45.1
Stanwell Tops,South-west,44.4
Strathfield,West,10.5
Strathfield South,West,11.8
Summer Hill,West,7
Sun Valley,West,59.6
Surry Hills,South,2.5
Sutherland,South-west,22.9
Swansea,North-east,95.3
Sydenham,South-west,6.6
Sydney,East,0
Sydney Olympic Park,West,13
Sylvania,South-west,18.3
Sylvania Waters,South-west,19
Tahmoor,South-west,69.1
Tamarama,East,6.9
Taren Point,South-west,17.9
Tarrawanna,South-west,64.4
Tascott,North,47.4
Telopea,West,16.9
Tempe,South-west,7.7
Tennyson,North-west,57.1
Tennyson Point,West,9.2
Teralba,North,107.1
Terrey Hills,North,20.5
Terrigal,North-east,51.6
The Entrance,North-east,64
The Entrance North,North-east,66.5
The Hill,North-east,117
The Junction,North-east,115.5
The Oaks,West,63.2
The Ponds,North-west,33.1
The Rocks,North,0.8
The Slopes,North-west,60.7
Theresa Park,West,56.8
Thirlmere,South-west,69.6
Thirroul,South-west,56.3
Thornleigh,North-west,19.1
Tingira Heights,North-east,106
Toongabbie,West,25.3
Toowoon Bay,North-east,62.7
Toronto,North,101.6
Toukley,North-east,73.8
Towradgi,South-west,63.9
Tregear,West,40.2
Tuggerah,North,65.4
Tuggerawong,North,70.1
Tumbi Umbi,North,60.4
Turramurra,North-west,16.5
Turrella,South-west,9.3
Ultimo,South-west,1.6
Umina Beach,North,38.8
Unanderra,South-west,73.4
Valentine,North,103.5
Valley Heights,West,60.7
Vaucluse,East,6.7
Villawood,West,21.4
Vineyard,North-west,42.8
Voyager Point,West,23.9
Wadalba,North,70.3
Wagstaffe,North,40.3
Wahroonga,North-west,18.7
Waitara,North-west,20
Wakeley,West,27.6
Wallacia,West,52.3
Wallsend,North,115.4
Walsh Bay,North,1.4
Wamberal,North-east,54.7
Wangi Wangi,North,95.6
Waratah,North-east,117.2
Wareemba,West,7.2
Warilla,South-west,82.1
Warners Bay,North,107.4
Warragamba,West,55.7
Warrawee,North-west,17.7
Warrawong,South-west,74.8
Warriewood,North-east,21.3
Warrimoo,West,58
Warwick Farm,West,25.9
Watanobbi,North,69.8
Waterfall,South-west,35.6
Waterloo,South,3.7
Watsons Bay,East,7.4
Wattle Grove,West,27.2
Waverley,South-east,5.4
Waverton,North,3.2
Wedderburn,South-west,46.1
Wendoree Park,North,45.8
Wentworth Falls,West,78.9
Wentworth Point,West,12.8
Wentworthville,West,22.9
Werombi,West,57.3
Werri Beach,South,103
Werrington,West,44.9
Werrington County,West,44.2
Werrington Downs,West,45.3
West Gosford,North,49.8
West Hoxton,West,34
West Pennant Hills,North-west,20
West Pymble,North-west,14.1
West Ryde,North-west,12.8
West Wallsend,North,112.9
Westleigh,North-west,21.3
Westmead,West,21.5
Wetherill Park,West,27.3
Whalan,West,38.7
Whale Beach,North,30.7
Wheeler Heights,North-east,16.3
Whitebridge,North-east,109.4
Wickham,North-east,117.2
Wilberforce,North-west,48.2
Wiley Park,West,14.2
Willmot,West,41.5
Willoughby,North,7.4
Willoughby East,North,7.6
Wilton,South-west,62.6
Windale,North-east,106.9
Windang,South-west,80.2
Windsor,North-west,46.1
Windsor Downs,North-west,44
Winmalee,West,58.5
Winston Hills,West,22.7
Wisemans Ferry,North,55.2
Wolli Creek,South-west,8.5
Wollongong,South-west,68.3
Wollongong North,South-west,67.3
Wollongong West,South-west,69.5
Wollstonecraft,North,4.1
Wombarra,South-west,51.3
Woodbine,West,41.1
Woodcroft,West,32.8
Woodpark,West,22.9
Woodrising,North,105.3
Woollahra,South-east,3.7
Woolloomooloo,East,1.3
Woolooware,South,21.1
Woolwich,North-west,4.5
Woongarrah,North,73.5
Woonona,South-west,59.6
Woronora,South-west,22.5
Woronora Heights,South-west,25
Woy Woy,North,43.8
Woy Woy Bay,North,43.7
Wyoming,North,53.2
Wyong,North,68
Wyong Creek,North,68
Wyongah,North,71
Yagoona,West,17.3
Yarramundi,West,56.1
Yarrawarrah,South-west,26.5
Yattalunga,North,46.8
Yellow Rock,West,56.9
Yennora,West,22
Yerrinbool,South-west,83.7
Yowie Bay,South-west,22.4
Zetland,South,4.8
