Suburb,Postcode,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr)
Glossodia,2756,668000,450 ,no data,no data,666975,632000,5.53,0,0,0.0
Gordon,2072,2210000,"1,040 ",938000,595 ,2300000,2609444,-11.86,938000,910000,3.08
Gorokan,2263,473000,370 ,355000,310 ,480000,482500,-0.52,377500,360000,4.86
Gosford,2250,no data,380 ,432500,380 ,755500,990000,-23.69,435750,456000,-4.44
Granville,2142,755000,490 ,460000,420 ,760000,844000,-9.95,460000,520000,-11.54
Grasmere,2570,1560000,no data,no data,no data,1600000,1685000,-5.04,0,0,0.0
Grays Point,2232,1300000,755 ,no data,no data,1300000,1300000,0.0,0,0,0.0
Green Valley,2168,735000,405 ,no data,430 ,730000,727500,0.34,453750,615000,-26.22
Greenacre,2190,910000,560 ,617500,470 ,930000,965000,-3.63,615000,690000,-10.87
Greendale,2745,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Greenfield Park,2176,820000,475 ,no data,no data,824500,825000,-0.06,570000,565000,0.88
Greenwich,2065,2808050,"1,000 ",780000,550 ,2700550,2551000,5.86,780000,780000,0.0
Greystanes,2145,825000,520 ,678499,365 ,835000,880000,-5.11,698574,672000,3.95
Grose Vale,2753,no data,no data,no data,no data,1496250,1500000,-0.25,0,0,0.0
Grose Wold,2753,no data,no data,no data,no data,1730000,1100000,57.27,0,0,0.0
Guildford,2161,835000,500 ,465000,400 ,830000,855500,-2.98,469800,485000,-3.13
Guildford West,2161,800000,520 ,no data,no data,800000,800000,0.0,589337,641000,-8.06
Gwandalan,2259,510000,393 ,no data,no data,509000,515000,-1.17,0,373750,-100.0
Gwynneville,2500,780000,530 ,no data,350 ,800000,760000,5.26,522500,448500,16.5
Gymea,2227,1150000,650 ,752500,500 ,1172500,1300000,-9.81,750000,795000,-5.66
Haberfield,2045,1730000,840 ,no data,445 ,1855000,2190000,-15.3,760000,740000,2.7
Hamilton,2303,772500,470 ,660000,350 ,780000,740000,5.41,640000,450000,42.22
Hamilton South,2303,1050000,620 ,no data,450 ,1138000,998000,14.03,553000,575000,-3.83
Hammondville,2170,742500,500 ,no data,450 ,755000,805000,-6.21,595000,545000,9.17
Hardys Bay,2257,no data,no data,no data,no data,1210000,1225000,-1.22,0,0,0.0
Harrington Park,2567,855000,550 ,no data,no data,890000,917500,-3.0,0,0,0.0
Harris Park,2150,no data,385 ,488450,400 ,0,1100000,-100.0,488450,495000,-1.32
Hassall Grove,2761,646000,405 ,no data,318 ,655000,660000,-0.76,0,0,0.0
Hawkesbury Heights,2777,no data,no data,no data,no data,625625,745000,-16.02,0,0,0.0
Haymarket,2000,no data,no data,1140000,840 ,0,0,0.0,1030000,976000,5.53
Hazelbrook,2779,621250,420 ,no data,no data,615000,625000,-1.6,0,468000,-100.0
Heathcote,2233,950000,650 ,668750,523 ,955000,989000,-3.44,720000,795000,-9.43
Hebersham,2770,547500,350 ,no data,350 ,555000,562505,-1.33,0,0,0.0
Heckenberg,2168,665000,400 ,no data,no data,665000,648000,2.62,0,0,0.0
Helensburgh,2508,870000,600 ,656000,520 ,870000,915500,-4.97,660000,700000,-5.71
Henley,2111,no data,no data,no data,no data,3200000,3850000,-16.88,850000,0,0.0
Highfields,2289,650000,450 ,no data,no data,650000,730000,-10.96,487500,0,0.0
Hillsdale,2036,no data,620 ,620000,470 ,1356500,875000,55.03,630000,700000,-10.0
Hinchinbrook,2168,670000,450 ,no data,400 ,700000,750000,-6.67,625000,619750,0.85
Hobartville,2753,652500,450 ,no data,no data,650000,649500,0.08,547500,0,0.0
Holmesville,2286,495000,420 ,no data,no data,507500,430000,18.02,0,0,0.0
Holroyd,2142,no data,no data,536000,465 ,872000,700000,24.57,536000,545000,-1.65
Holsworthy,2173,821250,500 ,no data,520 ,824250,830000,-0.69,716500,718500,-0.28
Homebush,2140,695000,500 ,648000,520 ,699000,1767500,-60.45,645000,680000,-5.15
Horningsea Park,2171,741250,520 ,no data,no data,741250,806250,-8.06,0,0,0.0
Hornsby,2077,1121000,590 ,652250,465 ,1120080,1322500,-15.31,652000,680000,-4.12
Horsley,2530,654500,515 ,no data,no data,665000,668000,-0.45,500000,507500,-1.48
Hoxton Park,2171,750000,470 ,no data,no data,760000,748000,1.6,0,657500,-100.0
Hunters Hill,2110,2900000,900 ,1200000,550 ,2875000,2850000,0.88,1235000,880000,40.34
Huntleys Cove,2111,no data,no data,no data,750 ,2150000,1890000,13.76,1260000,1310000,-3.82
Huntleys Point,2111,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Hurlstone Park,2193,1350000,650 ,715000,430 ,1350000,1500000,-10.0,689500,820000,-15.91
Hurstville,2220,1439000,570 ,700000,530 ,1407750,1600000,-12.02,708000,717000,-1.26
Illawong,2234,1282500,725 ,no data,550 ,1290000,1345000,-4.09,865000,895000,-3.35
Ingleburn,2565,678000,400 ,480000,370 ,679950,689000,-1.31,482000,475550,1.36
Ingleside,2101,no data,"1,248 ",no data,no data,2300000,2885000,-20.28,0,0,0.0
Islington,2296,615000,435 ,619000,400 ,615000,675000,-8.89,608000,628500,-3.26
Jamberoo,2533,827500,495 ,no data,no data,830000,830000,0.0,0,0,0.0
Jannali,2226,1017000,590 ,614000,430 ,1021000,1120000,-8.84,614000,610000,0.66
Jesmond,2299,485000,369 ,330000,330 ,472500,485000,-2.58,330000,360000,-8.33
Jewells,2280,652500,503 ,no data,no data,655000,647500,1.16,0,0,0.0
Kahibah,2290,679000,420 ,565500,420 ,669500,624975,7.12,565500,582000,-2.84
Kanahooka,2530,630000,475 ,no data,380 ,649000,620000,4.68,606000,550000,10.18
Kangaroo Point,2224,no data,no data,no data,no data,3800000,3010000,26.25,0,0,0.0
Kangaroo Valley,2577,no data,no data,no data,no data,1210000,1130000,7.08,0,0,0.0
Kangy Angy,2258,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Kanwal,2259,495000,395 ,no data,no data,500000,485000,3.09,0,390000,-100.0
Kareela,2232,1086000,785 ,no data,no data,1100000,1190000,-7.56,0,0,0.0
Kariong,2250,677500,485 ,527500,no data,677750,680000,-0.33,527500,512500,2.93
Katoomba,2780,586500,418 ,465000,325 ,590000,600000,-1.67,425000,423750,0.29
Kearns,2558,650000,450 ,no data,no data,650000,650000,0.0,0,0,0.0
Keiraville,2500,845000,525 ,570000,370 ,845000,850000,-0.59,545000,540000,0.93
Kellyville,2155,1100000,650 ,700000,530 ,1120000,1230000,-8.94,705000,744000,-5.24
Kellyville Ridge,2155,945000,600 ,600000,473 ,950000,1017000,-6.59,608000,617500,-1.54
Kensington,2033,2937500,"1,000 ",880000,580 ,2900000,2765000,4.88,880000,977500,-9.97
Kenthurst,2156,2200000,550 ,no data,no data,2280000,2650000,-13.96,0,0,0.0
Kentlyn,2560,no data,no data,no data,no data,1530000,1480000,3.38,0,0,0.0
Kiama,2533,920000,550 ,608000,490 ,925000,876250,5.56,615000,629000,-2.23
Killara,2071,2375000,"1,150 ",945000,600 ,2541500,2900000,-12.36,980000,985000,-0.51
Killarney Heights,2087,1615000,895 ,no data,658 ,1580000,1900000,-16.84,0,860000,-100.0
Killarney Vale,2261,590000,420 ,no data,325 ,595000,600000,-0.83,500000,535000,-6.54
Killcare,2257,1375000,no data,no data,no data,1200000,1130500,6.15,785000,0,0.0
Kincumber,2251,702625,480 ,550000,350 ,700000,738500,-5.21,540000,473500,14.04
Kings Langley,2147,883750,520 ,no data,410 ,895000,945000,-5.29,715000,789000,-9.38
Kings Park,2148,740000,450 ,no data,no data,750000,785000,-4.46,680000,613000,10.93
Kingsford,2032,2017500,880 ,752500,550 ,2017500,2260000,-10.73,815000,845000,-3.55
Kingsgrove,2208,1192500,635 ,694500,435 ,1198000,1350000,-11.26,687500,727500,-5.5
Kirrawee,2232,1081000,678 ,680000,530 ,1100000,1222500,-10.02,682500,695000,-1.8
Kirribilli,2061,no data,"1,200 ",1527500,600 ,2890000,2800000,3.21,1605000,1210000,32.64
Kogarah,2217,1202500,600 ,622500,490 ,1202500,1532500,-21.53,633000,670000,-5.52
Kogarah Bay,2217,1571000,695 ,no data,no data,1550000,1492000,3.89,0,0,0.0
Koolewong,2256,815000,450 ,no data,290 ,890000,822000,8.27,0,0,0.0
Koonawarra,2530,517500,430 ,no data,no data,519000,510000,1.76,550000,0,0.0
Kotara,2289,620000,460 ,no data,370 ,620000,619000,0.16,448000,420000,6.67
Kurmond,2757,no data,635 ,no data,no data,845000,827500,2.11,0,0,0.0
Kurnell,2231,1172500,700 ,no data,410 ,1247500,1206000,3.44,0,0,0.0
Kurrajong,2758,1170000,455 ,no data,no data,1150000,900000,27.78,370000,0,0.0
Kyeemagh,2216,no data,700 ,no data,no data,1215000,1585000,-23.34,1260000,0,0.0
Kyle Bay,2221,no data,750 ,no data,no data,1725000,2844866,-39.36,0,0,0.0
La Perouse,2036,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Lake Haven,2263,512500,390 ,no data,no data,525000,505000,3.96,450000,407500,10.43
Lake Heights,2502,550000,450 ,no data,305 ,550000,566500,-2.91,530000,440000,20.45
Lake Illawarra,2528,545000,400 ,515000,350 ,557500,575000,-3.04,512500,515000,-0.49
Lake Munmorah,2259,521425,400 ,no data,315 ,521425,482500,8.07,287750,410000,-29.82
Lakelands,2282,790000,no data,no data,no data,788000,765000,3.01,0,411000,-100.0
Lakemba,2195,880000,520 ,405000,370 ,880000,956000,-7.95,408500,430000,-5.0
Lalor Park,2147,645000,400 ,no data,340 ,650000,700000,-7.14,0,0,0.0
Lambton,2299,680000,443 ,455000,310 ,685000,620000,10.48,456000,431000,5.8
Lane Cove,2066,2115000,828 ,815000,540 ,2115000,2331000,-9.27,815000,870000,-6.32
Lane Cove West,2066,1802500,965 ,no data,no data,1830000,2250000,-18.67,773750,856000,-9.61
Lansvale,2166,712500,500 ,no data,no data,712500,755500,-5.69,0,0,0.0
Lapstone,2773,no data,500 ,no data,no data,810000,891000,-9.09,0,0,0.0
Lavender Bay,2060,no data,no data,800000,565 ,0,9900000,-100.0,800000,2450000,-67.35
Lawson,2783,560000,420 ,no data,no data,560000,590000,-5.08,0,0,0.0
Leichhardt,2040,1325000,765 ,900000,570 ,1330000,1550000,-14.19,900000,1062500,-15.29
Leonay,2750,798500,550 ,no data,no data,798500,829000,-3.68,0,0,0.0
Lethbridge Park,2770,497500,325 ,no data,300 ,505000,525000,-3.81,0,0,0.0
Leumeah,2560,620000,390 ,410000,340 ,626500,628750,-0.36,425000,425000,0.0
Leura,2780,840000,460 ,580000,393 ,842500,765000,10.13,565000,505000,11.88
Lewisham,2049,1330000,780 ,730000,520 ,1330000,1432500,-7.16,730000,827000,-11.73
Lidcombe,2141,1054000,563 ,636000,530 ,1100000,1225000,-10.2,647000,710000,-8.87
Lilyfield,2040,1800000,820 ,1000000,495 ,1800000,1667500,7.95,848000,439000,93.17
Linden,2778,no data,no data,no data,no data,590000,645000,-8.53,0,0,0.0
Lindfield,2070,2289000,"1,000 ",1075800,630 ,2310000,2745000,-15.85,1085000,987500,9.87
Linley Point,2066,no data,"1,375 ",no data,no data,5280000,3160000,67.09,0,0,0.0
Lisarow,2250,790000,450 ,499500,no data,790000,756750,4.39,499500,507000,-1.48
Little Bay,2036,1794000,"1,000 ",1035500,650 ,1794000,1815000,-1.16,1025000,1177500,-12.95
Liverpool,2170,765000,420 ,420000,390 ,763500,820000,-6.89,429000,465000,-7.74
Llandilo,2747,715000,530 ,no data,no data,719990,726000,-0.83,0,0,0.0
Loftus,2232,1030000,650 ,no data,550 ,1020000,1130000,-9.73,807500,805000,0.31
Londonderry,2753,1080000,500 ,no data,no data,1030000,950000,8.42,0,0,0.0
Long Jetty,2261,700000,400 ,445000,350 ,700000,710000,-1.41,445000,442500,0.56
Long Point,2564,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Longueville,2066,4025000,"1,150 ",no data,no data,4025000,4855000,-17.1,5555000,0,0.0
Lower Portland,2756,926500,no data,no data,no data,988250,780000,26.7,0,0,0.0
Luddenham,2745,1155000,525 ,no data,no data,903000,1535500,-41.19,0,0,0.0
Lugarno,2210,1275000,600 ,1140000,no data,1290000,1270000,1.57,1140000,1050000,8.57
Lurnea,2170,682500,428 ,520000,390 ,691000,715000,-3.36,520000,540000,-3.7
Macquarie Fields,2564,620000,400 ,465000,350 ,620000,662100,-6.36,460000,468500,-1.81
Macquarie Park,2113,no data,no data,900000,500 ,0,19275000,-100.0,895000,750000,19.33
Maianbar,2230,no data,no data,no data,no data,1080000,1150000,-6.09,0,0,0.0
Malabar,2036,2105000,993 ,no data,540 ,2160000,2350000,-8.09,0,817444,-100.0
Mangerton,2500,810000,550 ,416000,330 ,825000,850000,-2.94,413500,600000,-31.08
Mangrove Mountain,2250,no data,no data,no data,no data,1650000,1307500,26.2,0,0,0.0
Manly,2095,3001000,"1,425 ",1362500,750 ,2995500,3205000,-6.54,1350000,1447500,-6.74
Manly Vale,2093,1760000,925 ,815000,560 ,1765000,1765000,0.0,805000,850500,-5.35
Mannering Park,2259,491875,390 ,no data,no data,494375,463000,6.78,0,0,0.0
Maraylya,2765,no data,no data,no data,no data,2000000,1900000,5.26,0,0,0.0
Marayong,2148,679500,400 ,no data,320 ,680000,720000,-5.56,332000,615000,-46.02
Marks Point,2280,519000,395 ,no data,320 ,586250,698000,-16.01,395000,380000,3.95
Marmong Point,2284,545000,no data,no data,no data,558000,570000,-2.11,0,282000,-100.0
Maroota,2756,no data,no data,no data,no data,1200000,1550000,-22.58,0,0,0.0
Maroubra,2035,1890000,900 ,850000,600 ,1905000,2021000,-5.74,850000,920000,-7.61
Marrickville,2204,1300000,700 ,712000,480 ,1300000,1462500,-11.11,720000,740000,-2.7
Marsden Park,2765,810000,560 ,no data,455 ,841250,845000,-0.44,350000,0,0.0
Marsfield,2122,1502500,675 ,766000,500 ,1580000,1780000,-11.24,778500,827000,-5.86
Mascot,2020,1300000,750 ,830000,700 ,1286500,1400000,-8.11,837500,960000,-12.76
Matcham,2250,1875000,no data,no data,no data,2000000,1705000,17.3,2600000,1930000,34.72
Matraville,2036,1600000,975 ,824000,550 ,1620000,1810000,-10.5,835000,780000,7.05
Mays Hill,2145,590000,530 ,no data,480 ,593850,632750,-6.15,615000,592500,3.8
Meadowbank,2114,no data,no data,645000,470 ,0,0,0.0,650000,645000,0.78
Melrose Park,2114,no data,650 ,no data,no data,1395000,1680000,-16.96,0,1110000,-100.0
Menai,2234,1020000,678 ,723000,560 ,1020000,1060000,-3.77,750000,792500,-5.36
Menangle,2568,no data,no data,no data,no data,1270000,985000,28.93,0,0,0.0
Menangle Park,2563,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Merewether,2291,1300000,573 ,605000,400 ,1300000,1385000,-6.14,615000,631300,-2.58
Merewether Heights,2291,1012500,718 ,no data,no data,1020000,964000,5.81,0,0,0.0
Merrylands,2160,815000,500 ,500000,400 ,815000,899500,-9.39,500000,510000,-1.96
Merrylands West,2160,790000,593 ,477500,400 ,790000,850000,-7.06,460550,468001,-1.59
Middle Cove,2068,1850000,"1,220 ",no data,no data,1850000,2000000,-7.5,0,0,0.0
Miller,2168,675000,410 ,no data,no data,671250,680000,-1.29,0,0,0.0
Millers Point,2000,5360000,"1,100 ",1850000,760 ,5300000,4902000,8.12,1810000,1160000,56.03
Milperra,2214,875000,590 ,no data,no data,871000,899000,-3.11,0,0,0.0
Milsons Point,2061,no data,no data,1570000,785 ,0,0,0.0,1540000,1585000,-2.84
Minchinbury,2770,695000,480 ,no data,418 ,710000,760000,-6.58,460000,558025,-17.57
Minto,2566,630100,420 ,453750,345 ,637750,660250,-3.41,457500,461500,-0.87
Miranda,2228,1128750,690 ,680000,480 ,1160000,1320000,-12.12,680000,700000,-2.86
Mirrabooka,2264,no data,395 ,no data,no data,480000,525000,-8.57,0,0,0.0
Mittagong,2575,705000,500 ,615000,340 ,711750,755000,-5.73,570000,450000,26.67
Mona Vale,2103,1660000,900 ,930000,625 ,1675000,1800000,-6.94,920000,977500,-5.88
Monterey,2217,1470000,643 ,680000,450 ,1540000,1580000,-2.53,667500,840000,-20.54
Mooney Mooney,2083,no data,no data,no data,no data,1130000,752500,50.17,0,0,0.0
Moorebank,2170,875000,590 ,590625,460 ,885000,900000,-1.67,590000,550000,7.27
Morisset,2264,580000,395 ,385000,368 ,550000,532000,3.38,385000,404000,-4.7
Mortdale,2223,1160000,580 ,615000,440 ,1192000,1250000,-4.64,625000,630000,-0.79
Mortlake,2137,no data,813 ,955000,600 ,1375000,2650000,-48.11,1010000,890000,13.48
Mosman,2088,3900000,"1,450 ",1000000,575 ,3762500,3910000,-3.77,1015000,1180000,-13.98
Moss Vale,2577,700000,480 ,507500,350 ,715000,711000,0.56,556000,500000,11.2
Mount Annan,2567,740000,480 ,no data,338 ,745000,740000,0.68,523500,597000,-12.31
Mount Colah,2079,1020000,615 ,no data,450 ,1030000,1160000,-11.21,850000,570000,49.12
Mount Druitt,2770,660000,400 ,405000,340 ,660000,700000,-5.71,410000,432000,-5.09
Mount Hunter,2570,no data,no data,no data,no data,865000,858250,0.79,0,0,0.0
Mount Hutton,2290,501250,423 ,415500,390 ,512100,487000,5.15,422500,410000,3.05
Mount Keira,2500,780000,510 ,no data,300 ,780000,830000,-6.02,0,0,0.0
Mount Lewis,2190,no data,493 ,no data,no data,950000,1281000,-25.84,0,0,0.0
Mount Ousley,2519,825000,535 ,no data,no data,822500,825000,-0.3,600000,0,0.0
Mount Pleasant,2519,930000,600 ,no data,no data,935250,914000,2.32,0,0,0.0
Mount Pritchard,2170,670000,400 ,no data,300 ,660000,698500,-5.51,600000,630000,-4.76
Mount Riverview,2774,670000,500 ,no data,no data,670000,725000,-7.59,0,0,0.0
Mount Saint Thomas,2500,696000,463 ,no data,no data,696000,642500,8.33,620000,690000,-10.14
Mount Victoria,2786,540000,410 ,no data,no data,585000,567500,3.08,0,0,0.0
Mount Warrigal,2528,595000,488 ,no data,no data,615000,600000,2.5,0,0,0.0
Mulgoa,2745,870000,580 ,no data,332 ,852500,939500,-9.26,0,0,0.0
Mulgrave,2756,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Narara,2250,625000,440 ,465000,350 ,621500,620000,0.24,465000,460000,1.09
Narellan,2567,661000,430 ,no data,300 ,663000,670000,-1.04,517500,561250,-7.8
Narellan Vale,2567,665000,460 ,no data,no data,680000,685000,-0.73,0,0,0.0
Naremburn,2065,2052500,820 ,1128000,643 ,2125000,2300000,-7.61,1128000,1161500,-2.88
Narrabeen,2101,2350000,845 ,810000,580 ,2200000,2155000,2.09,830000,925000,-10.27
Narraweena,2099,1410500,795 ,no data,535 ,1400000,1560000,-10.26,1120000,1023000,9.48
Narwee,2209,998000,570 ,565000,400 ,1047474,1051500,-0.38,590000,650000,-9.23
Nelson,2550,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Nelson,2765,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Neutral Bay,2089,2502000,980 ,923500,570 ,2476000,2200000,12.55,950000,1050000,-9.52
New Lambton,2305,740000,440 ,510000,330 ,730000,700000,4.29,510000,405750,25.69
New Lambton Heights,2305,795000,538 ,no data,no data,785000,625000,25.6,0,0,0.0
Newcastle West,2302,no data,no data,615000,470 ,0,690000,-100.0,615000,539975,13.89
Newington,2127,1340000,750 ,718500,540 ,1345000,1370000,-1.82,713500,742000,-3.84
Newport,2106,1850000,900 ,815000,550 ,1850000,1950000,-5.13,830000,810000,2.47
Newtown,2042,1330000,773 ,650000,470 ,1335000,1490000,-10.4,650000,887500,-26.76
Niagara Park,2250,585000,425 ,no data,290 ,592100,608000,-2.62,489000,478000,2.3
Norah Head,2263,950000,435 ,no data,no data,950000,870000,9.2,0,0,0.0
Noraville,2263,575000,398 ,no data,270 ,575250,565000,1.81,0,1185000,-100.0
Nords Wharf,2281,no data,390 ,no data,no data,715000,625000,14.4,0,0,0.0
Normanhurst,2076,1195000,630 ,422500,490 ,1235000,1452500,-14.97,653500,1020000,-35.93
North Avoca,2260,1060500,530 ,no data,450 ,1050000,997500,5.26,1298000,925000,40.32
North Curl Curl,2099,2182500,"1,173 ",no data,525 ,2175000,2435000,-10.68,1218500,1161000,4.95
North Lambton,2299,570000,410 ,no data,260 ,582500,581750,0.13,375000,446000,-15.92
North Manly,2100,1700000,875 ,no data,573 ,1700000,1895000,-10.29,735000,845000,-13.02
North Parramatta,2151,1023500,540 ,567890,420 ,1023500,1395000,-26.63,560000,630000,-11.11
North Richmond,2754,690000,430 ,515000,350 ,745000,710000,4.93,507500,495000,2.53
North Rocks,2151,1179000,580 ,782500,500 ,1188000,1300500,-8.65,760000,853500,-10.95
North Ryde,2113,1460000,700 ,895000,510 ,1460000,1717500,-14.99,937500,945000,-0.79
North Strathfield,2137,1700000,650 ,778500,550 ,1765000,1842500,-4.21,785000,812000,-3.33
North Sydney,2060,2150000,990 ,1030000,610 ,2020000,2700000,-25.19,1020000,950000,7.37
North Turramurra,2074,1710000,875 ,1400000,no data,1800000,1950000,-7.69,1447500,1275000,13.53
Northbridge,2063,3165000,"1,250 ",1015000,643 ,3182500,3492500,-8.88,1034000,975000,6.05
Northmead,2152,1019500,495 ,645000,445 ,1034500,1123750,-7.94,645000,620000,4.03
Northwood,2066,3200000,no data,no data,no data,3210000,2987000,7.47,0,0,0.0
Oakdale,2570,690000,450 ,no data,no data,690000,595000,15.97,0,0,0.0
Oakhurst,2761,645000,425 ,no data,no data,649999,650000,-0.0,568000,607000,-6.43
Oakville,2765,no data,625 ,no data,no data,2000000,2130000,-6.1,0,0,0.0
Oatlands,2117,1490000,550 ,800000,550 ,1500000,1590000,-5.66,802500,895000,-10.34
Oatley,2223,1650000,650 ,825000,480 ,1700000,1750000,-2.86,835000,820000,1.83
Old Guildford,2161,735000,500 ,no data,380 ,712500,908500,-21.57,0,621055,-100.0
Old Toongabbie,2146,840000,480 ,no data,460 ,845000,874500,-3.37,0,620000,-100.0
Orangeville,2570,1397500,no data,no data,no data,1395000,1710000,-18.42,0,0,0.0
Orchard Hills,2748,no data,630 ,no data,no data,1325000,1685000,-21.36,0,0,0.0
Otford,2508,no data,no data,no data,no data,1200000,1102500,8.84,0,0,0.0
Ourimbah,2258,675000,420 ,410000,360 ,722500,703000,2.77,411000,450000,-8.67
Oxford Falls,2100,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Oxley Park,2760,670000,390 ,525000,405 ,682500,642500,6.23,525000,535000,-1.87
Oyster Bay,2225,1200000,700 ,no data,no data,1214500,1380000,-11.99,880000,1066000,-17.45
Paddington,2021,2307500,"1,150 ",915000,500 ,2350000,2245000,4.68,920000,910000,1.1
Padstow,2211,970000,560 ,660000,460 ,975000,1088000,-10.39,660000,745000,-11.41
Pagewood,2035,1630000,815 ,no data,700 ,1625000,1775000,-8.45,875000,1012500,-13.58
Palm Beach,2108,3400000,"1,000 ",no data,no data,3400000,2900000,17.24,1400000,2000000,-30.0
Panania,2213,960000,590 ,no data,400 ,975000,1050000,-7.14,686800,749000,-8.3
Parklea,2768,845000,570 ,no data,470 ,860000,919000,-6.42,571000,570000,0.18
Parramatta,2150,865000,495 ,615000,480 ,865000,1270000,-31.89,620000,650000,-4.62
Patonga,2256,no data,no data,no data,no data,762500,861500,-11.49,0,0,0.0
Peakhurst,2210,993000,598 ,825000,500 ,989000,1200000,-17.58,808000,699000,15.59
Peakhurst Heights,2210,1087500,no data,no data,no data,1087500,1300000,-16.35,0,0,0.0
Pearl Beach,2256,1200000,no data,no data,no data,1205000,1210000,-0.41,0,0,0.0
Peats Ridge,2250,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Pemulwuy,2145,940000,620 ,550000,460 ,940000,980000,-4.08,557500,560100,-0.46
Pendle Hill,2145,836000,480 ,535000,410 ,838000,877500,-4.5,510000,505000,0.99
Pennant Hills,2120,1350000,675 ,982500,460 ,1355000,1587500,-14.65,797500,660000,20.83
Penrith,2750,640000,400 ,480000,380 ,642500,700000,-8.21,478000,450000,6.22
Penshurst,2222,1194000,600 ,557500,435 ,1210000,1395000,-13.26,579500,616000,-5.93
Petersham,2049,1295000,750 ,740000,475 ,1360000,1535000,-11.4,802000,773000,3.75
Pheasants Nest,2574,no data,no data,no data,no data,1300000,1195000,8.79,0,0,0.0
Phegans Bay,2256,no data,520 ,no data,no data,922500,749500,23.08,0,0,0.0
Phillip Bay,2036,no data,no data,no data,no data,1710000,1625000,5.23,0,0,0.0
Picnic Point,2213,1020000,615 ,no data,538 ,1060000,1145000,-7.42,790000,822500,-3.95
Picton,2571,760000,465 ,no data,340 ,730000,760000,-3.95,467500,418000,11.84
Pitt Town,2756,1305000,640 ,no data,no data,1330000,1367500,-2.74,0,0,0.0
Plumpton,2761,659990,440 ,520000,490 ,659990,670000,-1.49,512500,510000,0.49
Point Clare,2250,705000,430 ,no data,375 ,710000,720500,-1.46,495000,471000,5.1
Point Piper,2027,no data,no data,4000000,"1,075 ",0,20000000,-100.0,3050000,4375000,-30.29
Port Hacking,2229,1690000,no data,no data,no data,1755000,1865000,-5.9,0,0,0.0
Potts Point,2011,no data,600 ,787500,550 ,2362500,1750000,35.0,785000,730000,7.53
Prairiewood,2176,836000,485 ,no data,no data,842000,932500,-9.71,0,0,0.0
Prestons,2170,750000,500 ,no data,400 ,760000,800000,-5.0,625500,573000,9.16
Pretty Beach,2257,no data,no data,no data,no data,980000,950000,3.16,0,0,0.0
Primbee,2502,677500,435 ,no data,333 ,675000,650250,3.81,335000,0,0.0
Prospect,2148,750000,440 ,475000,450 ,747000,815000,-8.34,480000,478500,0.31
Punchbowl,2196,860000,550 ,470000,395 ,860000,894400,-3.85,465000,485000,-4.12
Putney,2112,1900000,820 ,no data,no data,1975000,2365500,-16.51,1317300,1400000,-5.91
Pymble,2073,2240000,"1,075 ",820000,600 ,2232500,2250000,-0.78,870000,885000,-1.69
Pyrmont,2009,1575000,773 ,1025000,728 ,1575000,1900000,-17.11,1010000,1021000,-1.08
Quakers Hill,2763,735000,470 ,627500,450 ,740000,793000,-6.68,630000,665000,-5.26
Queens Park,2022,2750000,"1,350 ",925000,688 ,2982500,2507500,18.94,975000,1070500,-8.92
Queenscliff,2096,no data,973 ,982500,668 ,3850000,2570000,49.81,965000,1070000,-9.81
Raby,2566,640000,428 ,no data,no data,635000,650000,-2.31,510000,507500,0.49
Ramsgate,2217,no data,570 ,no data,530 ,1175000,1250000,-6.0,711500,678500,4.86
Ramsgate Beach,2217,no data,600 ,820000,465 ,1430000,1917500,-25.42,810000,755000,7.28
Randwick,2031,2392500,"1,000 ",925000,600 ,2400000,2485000,-3.42,931500,960500,-3.02
Rankin Park,2287,597500,480 ,no data,no data,600000,592000,1.35,0,0,0.0
Rathmines,2283,627500,380 ,no data,no data,620500,576575,7.62,385000,0,0.0
Razorback,2571,no data,no data,no data,no data,1600000,1720000,-6.98,0,0,0.0
Redfern,2016,1350000,750 ,897500,630 ,1350000,1672500,-19.28,900000,967000,-6.93
Redhead,2290,1019500,510 ,no data,no data,1000000,920000,8.7,181000,640000,-71.72
Regents Park,2143,815000,470 ,no data,400 ,835000,920000,-9.24,498000,480000,3.75
Regentville,2745,720000,410 ,no data,no data,720000,787500,-8.57,0,0,0.0
Revesby,2212,987500,580 ,737500,450 ,1007500,1073000,-6.1,754000,780000,-3.33
Rhodes,2138,no data,585 ,900000,640 ,4947100,1762500,180.69,900000,895500,0.5
Richmond,2753,727500,425 ,470000,350 ,725000,753000,-3.72,470000,467500,0.53
Riverstone,2765,754000,500 ,no data,305 ,756250,808000,-6.4,592500,680000,-12.87
Riverview,2066,2500000,900 ,no data,no data,2487500,2640000,-5.78,0,0,0.0
