Suburb,Total
Brobenah,4
Brocklehurst,29
Brockley,0
Brodies Plains,1
Brogans Creek,0
Brogers Creek,0
Brogo,9
Broke,33
Broken Head,24
Brombin,2
Bronte,255
Brookdale,1
Brookfield,10
Brooklana,1
Brooklet,10
Brooklyn,209
Brookong,0
Brookvale,977
Brooman,0
Brooms Head,35
Broughams Gate,0
Broughton,4
Broughton Vale,6
Broughton Village,5
Broulee,47
Brownlow Hill,51
Browns Creek,4
Browns Mountain,5
Brownsville,45
Brucedale,2
Bruie Plains,0
Bruinbun,0
Brumby Plains,0
Brundee,5
Brungle,8
Brungle Creek,0
Brunkerville,9
Brunswick Heads,200
Brushgrove,5
Brushy Creek,0
Buangla,1
Bucca Wauka,4
Buccarumbi,7
Buckajo,3
Buckaroo,1
Buckenbowra,0
Buckenderra,7
Buckendoon,1
Bucketty,1
Buckra Bendinni,1
Budawang,0
Buddabadah,0
Budden,0
Budderoo,1
Buddong,0
Budgee Budgee,4
Budgewoi,368
Budgewoi Peninsula,1
Budgong,3
Bugaldie,5
Bukalong,0
Bukkulla,2
Bulahdelah,157
Bulga,13
Bulga Forest,0
Bulgary,0
Bulla,0
Bulla Creek,0
Bullaburra,45
Bullagreen,1
Bullarah,4
Bullatale,1
Bullawa Creek,2
Bulldog,10
Bulli,451
Bulliac,1
Bullio,0
Bumbaldry,6
Bumbalong,1
Bundabah,13
Bundagen,4
Bundanoon,44
Bundarra,50
Bundeena,90
Bundella,3
Bundemar,2
Bundewallah,0
Bundook,18
Bundure,0
Bungaba,4
Bungabbee,0
Bungalora,1
Bungarby,1
Bungarribee,84
Bungawalbin,2
Bungonia,16
Bungowannah,3
Bunnaloo,8
Bunnan,11
Bunyah,12
Bunyan,9
Burcher,0
Bureen,3
Burnt Bridge,25
Burnt Yards,0
Burra (Queanbeyan-Palerang Regional),10
Burra (Snowy Valleys),0
Burra Creek,3
Burraboi,7
Burradoo,71
Burraga,12
Burragate,6
Burrandana,0
Burraneer,87
Burrangong,3
Burrapine,0
Burrawang,15
Burrell Creek,4
Burren Junction,13
Burrier,0
Burrill Lake,49
Burringbar,30
Burrinjuck,2
Burroway,10
Burrumbuttock,17
Burrundulla,12
Burwood,2446
Burwood Heights,27
Busby,377
Busbys Flat,5
Buttaba,39
Buttai,0
Butterwick,1
Buxton,74
Byabarra,5
Byangum,17
Bylong,12
Byng,4
Byrock,7
Byrrill Creek,5
Bywong,37
Cabarita,107
Cabarita Beach,38
Cabbage Tree Island (Ballina),0
Cabbage Tree Island (Mid-Coast),0
Cabramatta West,329
Cabramurra,0
Caddens,66
Cadgee,0
Cadia,1
Caffreys Flat,3
Cairncross,1
Calala,97
Calamia,0
Calderwood,11
Caldwell,2
Calga,19
Califat,0
Calimo,2
Callala Bay,75
Callala Beach,48
Calliope,1
Caloola,0
Cambalong,0
Cambewarra,8
Cambewarra Village,22
Camboon,0
Cambra,1
Cambridge Gardens,144
Cambridge Park,362
Camden,406
Camden Head,3
Camden Park,28
Camden South,125
Camellia,21
Camerons Creek,0
Camira,5
Cammeray,199
Camp Creek,0
Camperdown,1190
Campsie,2991
Campvale,24
Cams Wharf,11
Canada Bay,34
Canadian Lead,0
Canbelego,1
Candelo,24
Cangai,2
Caniaba,14
Canley Heights,583
Canobolas,22
