Suburb,Direction,Distance (km),Latitude,Longitude
Wollongong North,South-west,67.3,-34.41133999999994,150.89250000000004
Wollongong West,South-west,69.5,-34.424139999999966,150.8685200000001
Wollstonecraft,North,4.1,-33.831489999999974,151.19689000000005
Wombarra,South-west,51.3,-34.27524999999997,150.95572000000004
Woodbine,West,41.1,-34.046179999999936,150.82503000000008
Woodcroft,West,32.8,-33.75236999999993,150.8781100000001
Woodpark,West,22.9,-33.84045999999995,150.9606500000001
Woodrising,North,105.3,-32.98243999999994,151.60332000000005
Woollahra,South-east,3.7,-33.88957999999997,151.24795000000006
Woolloomooloo,East,1.3,-33.868889999999965,151.21953000000008
Woolooware,South,21.1,-34.048769999999934,151.14132000000006
Woolwich,North-west,4.5,-33.840209999999956,151.1699400000001
Woongarrah,North,73.5,-33.241259999999954,151.4757400000001
Woonona,South-west,59.6,-34.340449999999976,150.90714000000003
Woronora,South-west,22.5,-34.020749999999964,151.0502600000001
Woronora Heights,South-west,25.0,-34.03367999999995,151.02697000000012
Woy Woy,North,43.8,-33.49153999999993,151.32698000000005
Woy Woy Bay,North,43.7,-33.48459999999994,151.31509000000005
Wyoming,North,53.2,-33.40918999999997,151.34984000000009
Wyong,North,68.0,-33.28290999999996,151.4255300000001
Wyong Creek,North,68.0,-33.25255999999996,151.3111100000001
Wyongah,North,71.0,-33.27016999999995,151.4899200000001
Yagoona,West,17.3,-33.905239999999935,151.0100900000001
Yarramundi,West,56.1,-33.63842999999997,150.66559000000007
Yarrawarrah,South-west,26.5,-34.058059999999955,151.03029000000004
Yattalunga,North,46.8,-33.46846999999997,151.3619000000001
Yellow Rock,West,56.9,-34.608059999999966,150.75123000000008
Yennora,West,22.0,-33.863459999999975,150.97379000000012
Yerrinbool,South-west,83.7,-34.362859999999955,150.54513000000009
Yowie Bay,South-west,22.4,-34.05169999999998,151.1038000000001
Zetland,South,4.8,-33.90753999999998,151.20756000000006
