Suburb,Direction,Distance (km),Latitude,Longitude
Clontarf,North-east,7.9,-33.79794999999996,151.2525300000001
Clovelly,South-east,7.2,-33.91084999999998,151.2589200000001
Clyde,West,17.8,-33.834139999999934,151.02016000000003
Coal Point,North,99.2,-33.03604999999993,151.60760000000005
Coalcliff,South-west,47.3,-34.24999999999994,150.98333000000002
Cobbitty,West,50.5,-34.015349999999955,150.68563000000006
Colebee,West,36.6,-33.72268999999994,150.85395000000005
Coledale,South-west,53.0,-34.287579999999934,150.94781000000012
Collaroy,North-east,16.6,-33.73289999999997,151.30154000000005
Collaroy Plateau,North-east,16.6,-33.725919999999974,151.2886000000001
Colo Vale,South-west,88.9,-34.40090999999995,150.4883400000001
Colyton,West,39.6,-33.78236999999996,150.79156000000012
Como,South-west,19.9,-34.00538999999998,151.0616500000001
Concord,West,9.6,-33.85607999999996,151.10325000000012
Concord West,West,11.3,-33.84619999999995,151.0894800000001
Condell Park,West,19.1,-33.92070999999993,151.00510000000008
Coniston,South-west,69.9,-34.436139999999966,150.8830200000001
Connells Point,South-west,17.6,-33.984959999999944,151.09849000000008
Constitution Hill,West,22.7,-33.79234999999994,150.97449000000006
Coogee,South-east,7.4,-33.92065999999994,151.25562000000002
Cooks Hill,North-east,116.3,-32.931929999999966,151.76795000000004
Cooranbong,North,91.0,-33.07669999999996,151.4536300000001
Copacabana,North-east,46.8,-33.48240999999996,151.43249000000003
Cordeaux Heights,South-west,72.2,-34.443839999999966,150.83114000000012
Corrimal,South-west,63.0,-34.37384999999995,150.89676000000009
Corrimal East,South-west,62.9,-33.95184865572102,150.87139738680972
Cottage Point,North,28.0,-33.61738999999994,151.20495000000005
Cowan,North,31.1,-33.58974999999998,151.16968000000008
Cranebrook,West,49.0,-33.71941999999996,150.70983
Cremorne,North-east,4.8,-33.829909999999984,151.22726000000011
Cremorne Point,North-east,3.2,-33.83985999999993,151.2275400000001
Cringila,South-west,74.1,-34.46705999999995,150.87236000000007
Cromer,North-east,15.6,-33.73150999999996,151.2706300000001
Cronulla,South,21.2,-34.055159999999944,151.1533300000001
Crows Nest,North,4.6,-33.82515999999998,151.20089000000007
Croydon,West,8.7,-33.87609999999995,151.11386000000005
Croydon Park,West,9.6,-33.89719999999994,151.09967000000006
Cumberland Reach,North-west,54.1,-33.46985999999998,150.89817000000005
Curl Curl,North-east,13.6,-33.76842999999997,151.29433000000006
Currans Hill,West,45.5,-34.04502999999994,150.76380000000006
Daceyville,South,7.0,-33.92587999999995,151.22708000000011
Daleys Point,North,42.3,-33.50422999999995,151.35035000000005
Dangar Island,North,36.7,-33.53942999999998,151.23934000000008
Dapto,South-west,79.5,-34.49772999999993,150.79164000000003
Darling Point,East,2.8,-33.87066999999996,151.2361800000001
Darlinghurst,South-east,1.8,-33.87914999999998,151.22021000000007
Darlington,South-west,3.0,-33.89184999999998,151.19356000000005
Davidson,North,14.3,-33.73964999999998,151.19591000000003
Davistown,North,44.8,-33.48447999999996,151.3607300000001
Dawes Point,North,1.5,-33.85550999999998,151.20825000000002
Dean Park,West,35.3,-33.73515999999995,150.85228000000006
Dee Why,North-east,14.6,-33.74999999999994,151.30000000000007
Denham Court,West,36.2,-33.98393999999996,150.84478000000001
Denistone,North-west,13.5,-33.796419999999955,151.08832000000007
Denistone East,North-west,12.8,-33.79437999999993,151.09784000000002
Denistone West,North-west,14.1,-33.80132999999995,151.0751600000001
Dharruk,West,38.7,-33.747769999999946,150.81648000000007
Dolans Bay,South,22.7,-34.06254999999993,151.12612000000001
Dolls Point,South,15.1,-33.994239999999934,151.14318000000003
Doonside,West,33.2,-33.76434999999998,150.86935000000005
Dora Creek,North,91.3,-33.08249999999998,151.50227000000007
Double Bay,East,3.7,-33.877299999999934,151.24421000000007
Douglas Park,South-west,57.6,-34.18592999999993,150.71132000000011
Dover Heights,East,6.8,-33.87152999999995,151.28096000000005
Drummoyne,West,5.2,-33.854199999999935,151.15750000000003
Dudley,North-east,108.6,-32.98708999999997,151.7134900000001
Duffys Forest,North,21.8,-33.67203999999998,151.19522000000006
Dulwich Hill,South-west,7.2,-33.90340999999995,151.1424800000001
Dundas,West,16.8,-33.80133999999998,151.04609000000005
Dundas Valley,North-west,16.2,-33.79088999999993,151.05667000000005
Dural,North-west,26.4,-33.693739999999934,151.0194100000001
Eagle Vale,West,41.0,-34.03242999999998,150.8180000000001
Earlwood,South-west,10.0,-33.926909999999964,151.12498000000005
East Corrimal,South-west,62.9,-34.37533999999994,150.90888000000007
East Gosford,North,49.6,-33.437779999999975,151.3535300000001
East Hills,West,23.0,-33.96211999999997,150.9838800000001
East Killara,North,13.1,-33.75520999999998,151.17478000000006
East Kurrajong,North-west,60.2,-33.509619999999984,150.79277000000002
East Lindfield,North,11.4,-33.768929999999955,151.1863800000001
East Ryde,North-west,8.6,-33.806899999999985,151.1382000000001
Eastern Creek,West,32.1,-33.80618999999996,150.8516300000001
Eastgardens,South,8.9,-33.943649999999934,151.22256000000004
Eastlakes,South,6.5,-33.923779999999965,151.21113000000003
Eastwood,North-west,14.5,-33.79139999999995,151.08037000000002
Ebenezer,North-west,50.6,-33.52406999999994,150.88911000000007
Edensor Park,West,30.7,-33.87786999999997,150.87254000000007
Edgecliff,East,2.9,-33.87866999999994,151.23536000000001
Edgeworth,North,111.9,-32.923629999999946,151.61287000000004
Edmondson Park,West,33.3,-33.95753999999994,150.85036000000002
Elanora Heights,North,20.3,-33.70104999999995,151.27970000000005
Elderslie,West,50.5,-34.058509999999956,150.7108300000001
Eleebana,North,105.5,-32.98942999999997,151.63650000000007
Elermore Vale,North,114.5,-32.91528999999997,151.67311000000007
Elizabeth Bay,East,1.9,-33.87144999999998,151.22540000000004
Ellalong,North,106.4,-32.91518999999994,151.31118000000004
Ellis Lane,West,53.2,-34.03520999999995,150.67412000000002
Elvina Bay,North,26.1,-33.63951999999995,151.27771000000007
Emerton,West,39.4,-33.743829999999946,150.80617000000007
Empire Bay,North,43.9,-33.504299999999944,151.3636100000001
Emu Heights,West,53.8,-33.742339999999956,150.64771000000007
Emu Plains,West,52.2,-33.753469999999936,150.65991000000008
Enfield,West,10.8,-33.88760999999994,151.09570000000008
Engadine,South-west,28.5,-34.064719999999966,151.01357000000007
Englorie Park,South-west,44.9,-34.07994999999994,150.79560000000004
Enmore,South-west,4.9,-30.72374999999994,151.8276800000001
Epping,North-west,15.6,-33.77684999999997,151.0721400000001
Erina,North,50.5,-33.43457999999998,151.39494000000002
Erina Heights,North,52.2,-33.42545999999993,151.40915000000007
Ermington,West,15.3,-33.81449999999995,151.05630000000008
Erskine Park,West,39.2,-33.804089999999974,150.80585000000008
Erskineville,South-west,4.2,-33.89963999999998,151.18401000000006
Eschol Park,West,40.4,-34.02946999999995,150.80840000000012
Ettalong Beach,North,41.1,-33.513379999999984,151.3352900000001
Eveleigh,South,3.5,-33.897599999999954,151.19409000000007
Fairfield,West,23.3,-33.87180999999998,150.95324000000005
Fairfield East,West,21.2,-33.87654999999995,150.97549000000004
Fairfield Heights,West,24.8,-33.86513999999994,150.9385400000001
Fairfield West,West,26.3,-33.869009999999946,150.92235000000005
Fairlight,North-east,9.8,-33.79085999999995,151.27015000000006
Fairy Meadow,South-west,66.0,-34.391669999999976,150.89334000000008
Farmborough Heights,South-west,74.4,-34.45799999999997,150.81691000000012
Faulconbridge,West,64.2,-33.691059999999936,150.5459800000001
Fennell Bay,North,104.0,-32.99238999999994,151.60000000000002
Fernhill,South-west,64.6,-34.38304999999997,150.88700000000006
Figtree,South-west,70.9,-34.43646999999993,150.85451000000012
Five Dock,West,7.1,-33.87075999999996,151.12900000000002
Floraville,North-east,104.6,-33.011769999999956,151.66485000000011
Forest Lodge,South-west,2.9,-33.88239999999996,151.18208000000004
Forestville,North,11.7,-33.76102999999995,151.21669000000009
Forresters Beach,North-east,56.5,-33.40585999999996,151.46492000000012
Fountaindale,North,61.3,-33.33697999999998,151.40366000000006
Freemans Reach,North-west,51.3,-33.55794999999995,150.79957000000002
Frenchs Forest,North,13.1,-33.75046999999995,151.23487000000011
Freshwater,North-east,12.2,-33.77490999999998,151.28420000000006
Galston,North-west,28.3,-33.65297999999996,151.0455700000001
Garden Suburb,North-east,111.4,-32.94727999999998,151.68339000000003
Gateshead,North-east,108.3,-32.98176999999998,151.68671000000006
Georges Hall,West,21.4,-33.90575999999993,150.98937000000012
Gerringong,South,103.8,-34.74670999999995,150.82731
Gerroa,South,106.8,-34.769829999999956,150.81304000000011
Girraween,West,25.2,-33.79933999999997,150.94644000000005
Gladesville,West,8.3,-33.83135999999996,151.1262700000001
Glebe,South-west,2.3,-33.87713999999994,151.18491000000006
Glen Alpine,South-west,46.6,-34.08706999999998,150.7867000000001
Glenbrook,West,55.3,-33.76654999999994,150.62117000000012
Glendale,North,112.5,-32.930169999999976,151.64975000000004
Glendenning,West,35.5,-33.74109999999996,150.8547400000001
Glenfield,West,31.1,-33.97143999999997,150.89440000000002
Glenhaven,North-west,26.0,-33.69843999999995,151.00200000000007
Glenmore,West,60.5,-34.06627999999995,150.61066000000005
Glenmore Park,West,50.5,-33.784869999999955,150.67880000000002
Glenning Valley,North,60.7,-33.34150999999997,151.42092000000002
Glenorie,North-west,32.4,-33.60169999999994,151.0078400000001
Glenwood,West,30.0,-33.73222999999996,150.92793000000006
Glossodia,North-west,55.2,-33.53855999999996,150.7943600000001
Gordon,North,13.4,-29.299999999999955,152.71667000000002
Gorokan,North,73.5,-33.25479999999993,151.5035600000001
Gosford,North,50.6,-33.42322999999993,151.34261000000004
Granville,West,18.5,-33.83302999999995,151.00965000000008
Grasmere,West,53.8,-34.054839999999956,150.66992000000005
Grays Point,South-west,24.3,-34.05860999999993,151.08140000000003
Great Mackerel Beach,North,31.7,-33.59056999999996,151.29921000000002
Green Valley,West,31.7,-33.902319999999975,150.86662
Greenacre,West,14.5,-33.892679999999984,151.05766000000006
Greendale,West,51.0,-33.92670999999996,150.67937000000006
Greenfield Park,West,29.4,-33.87239999999997,150.88949000000002
Greenwich,North-west,4.4,-33.82709999999997,151.18794000000003
Gregory Hills,West,43.9,-34.02613999999994,150.77249000000006
Greystanes,West,24.0,-33.819009999999935,150.94859000000008
Grose Vale,North-west,59.7,-33.57603999999998,150.6510800000001
Grose Wold,North-west,58.9,-33.59994999999998,150.6809800000001
Guildford,West,20.5,-33.85486999999995,150.99049000000002
Guildford West,West,21.8,-33.84720999999996,150.9620500000001
Gunderman,North,48.3,-33.402589999999975,151.03168000000005
Gwandalan,North-east,87.9,-33.13977999999997,151.58168000000012
Gwynneville,South-west,68.0,-34.415929999999946,150.88123000000007
Gymea,South-west,21.6,-34.03520999999995,151.0849800000001
Gymea Bay,South-west,23.0,-34.04213999999996,151.0874100000001
Haberfield,West,6.5,-33.88098999999994,151.13926000000004
Hamilton,North-east,116.4,-32.92331999999993,151.74702000000002
Hamilton North,North-east,117.2,-32.914769999999976,151.73594000000003
Hamilton South,North-east,115.4,-32.932109999999966,151.74764000000005
Hamlyn Terrace,North,73.0,-33.254809999999964,151.4749700000001
Hammondville,West,25.1,-33.948909999999955,150.9505200000001
Hardys Bay,North,40.8,-33.525169999999946,151.35752000000002
Harrington Park,West,46.3,-34.03033999999997,150.73269000000005
Harris Park,West,19.0,-33.82197999999994,151.01083000000006
Hassall Grove,West,37.5,-33.734779999999944,150.83686000000012
Hawkesbury Heights,West,56.0,-33.66647999999998,150.64465000000007
Haymarket,South,1.4,-33.87964999999997,151.20526000000007
Hazelbrook,West,71.8,-33.72217999999998,150.45292000000006
Heathcote,South-west,30.5,-34.087129999999945,151.00669000000005
Hebersham,West,38.1,-33.74389999999994,150.82265000000007
Heckenberg,West,29.7,-33.908879999999954,150.89163000000008
Helensburgh,South-west,41.6,-34.18703999999997,150.9859600000001
Henley,West,7.1,-33.840799999999945,151.1362600000001
Highfields,North-east,111.8,-32.954819999999984,151.71211000000005
Hillsdale,South,9.8,-33.95049999999998,151.23077000000012
Hinchinbrook,West,32.2,-33.911179999999945,150.86491
Hobartville,North-west,51.8,-33.60250999999994,150.74363000000005
Holgate,North,54.1,-33.40188999999998,151.40651000000003
Holmesville,North,111.6,-32.89999999999998,151.59167000000002
Holroyd,West,19.9,-33.83059999999995,150.9971700000001
Holsworthy,West,25.5,-33.95990999999998,150.9587600000001
Homebush,West,11.6,-33.86397999999997,151.0823200000001
Homebush Bay,West,12.2,-33.84355999999997,151.07064000000003
Homebush West,West,12.7,-33.85847999999993,151.06941000000006
Horningsea Park,West,34.7,-33.94644999999997,150.83773000000008
Hornsby,North-west,20.7,-33.70071999999993,151.09688000000006
Hornsby Heights,North-west,24.2,-33.671059999999954,151.09621000000004
Horsfield Bay,North,42.5,-33.49329999999998,151.2994900000001
Horsley,South-west,79.8,-34.490759999999966,150.77600000000007
Horsley Park,West,33.3,-33.84117999999995,150.85394000000008
Hoxton Park,West,33.6,-33.92800999999997,150.84804000000008
Hunters Hill,North-west,5.9,-33.834589999999935,151.15257000000008
Huntingwood,West,30.5,-33.79742999999996,150.87849000000006
Huntleys Cove,West,7.0,-33.839639999999974,151.13645000000008
Huntleys Point,West,6.9,-33.83986999999996,151.1467
Hurlstone Park,South-west,8.4,-33.90662999999995,151.12778000000003
Hurstville,South-west,14.7,-33.96731999999997,151.10784
Hurstville Grove,South-west,16.6,-33.975259999999935,151.09508000000005
Illawong,South-west,21.1,-33.99825999999996,151.04232000000002
Ingleburn,West,34.7,-34.008749999999964,150.8791900000001
Ingleside,North,21.0,-33.685839999999985,151.2620300000001
Islington,North-east,117.2,-32.91724999999997,151.74967000000004
Jamberoo,South-west,95.6,-34.64889999999997,150.7795400000001
Jamisontown,West,50.1,-33.77043999999995,150.67606000000012
Jannali,South-west,21.2,-34.01618999999994,151.06550000000004
Jesmond,North-east,116.4,-32.903389999999945,151.69082000000003
Jewells,North-east,104.7,-33.01311999999996,151.68343000000004
Jordan Springs,West,46.8,-33.72763999999995,150.7223600000001
Kahibah,North-east,111.2,-32.966669999999965,151.71667000000002
Kanahooka,South-west,78.9,-34.49306999999993,150.81659000000002
Kangaroo Point,South-west,17.8,-33.99921999999998,151.09634000000005
Kangaroo Valley,South-west,114.9,-34.73148999999995,150.52312000000006
Kangy Angy,North,62.8,-33.320839999999976,151.40173000000004
Kanwal,North,73.3,-33.25246999999996,151.4907300000001
Kareela,South-west,20.0,-34.01539999999994,151.08237000000008
Kariong,North,48.2,-33.439629999999966,151.29595000000006
Katoomba,West,84.6,-33.71180999999996,150.31056
Kearns,West,41.1,-34.02282999999994,150.80369000000007
Keiraville,South-west,68.3,-34.414399999999944,150.87053000000003
Kellyville,North-west,28.8,-33.711179999999956,150.95532000000003
Kellyville Ridge,North-west,31.8,-33.701029999999946,150.9259300000001
Kemps Creek,West,38.7,-33.880199999999945,150.79105000000004
Kensington,South,4.9,-33.90987999999993,151.22219000000007
Kenthurst,North-west,29.6,-33.66131999999993,151.0049600000001
Kentlyn,South-west,39.5,-34.06137999999993,150.86248000000012
Kiama,South,95.2,-34.67695999999995,150.85196000000008
Kiama Downs,South,92.6,-34.639929999999936,150.84999000000005
Killara,North,12.0,-33.76559999999995,151.15682000000004
Killarney Heights,North,10.4,-33.772089999999935,151.21705000000009
Killarney Vale,North-east,60.1,-33.36446999999998,151.45756000000006
Killcare,North,40.6,-33.52138999999994,151.36463000000003
