Postcode,Suburb,Direction,Distance (km),Latitude,Longitude,Population,Density (/km2),Area (km2),Total Crime,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr),Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
1755,Baulkham Hills,North-west,25.2,-33.757589999999944,150.9896000000001,37050,,,1230,1115000,560 ,785000,520 ,1125000,1220000,-7.79,775000,841000,-7.85,0,0,6,0,1,0,3,0
2104,Bayview,North,24.5,-33.656769999999945,151.29458000000008,3620,,,65,1875000,943 ,no data,460 ,1905000,2250000,-15.33,454500,2500000,-81.82,0,0,1,0,2,0,0,1
2100,Beacon Hill,North,13.7,-33.752579999999966,151.26125000000005,7457,,,146,1432250,850 ,no data,550 ,1480000,1570750,-5.78,0,832000,-100.0,0,0,1,0,2,0,1,0
2014,Beaconsfield,South,5.1,-33.912499999999966,151.2005600000001,987,3345.0,0.2 ,47,1255000,800 ,692500,700 ,1252500,1580000,-20.73,700000,595000,17.65,0,0,15,0,0,0,3,0
2155,Beaumont Hills,North-west,30.2,-33.70497999999998,150.94128000000012,9042,3014.0,3 ,146,1148000,660 ,no data,no data,1162500,1220000,-4.71,0,0,0.0,0,0,0,0,3,0,1,0
2119,Beecroft,North-west,18.6,-33.74968999999993,151.0646200000001,9396,1842.0,5.1 ,228,1675000,750 ,1087500,500 ,1675000,1815000,-7.71,1087500,1100000,-1.14,0,0,9,0,1,0,3,0
2191,Belfield,West,12.1,-33.90459999999996,151.08504000000005,6322,,,208,1161000,600 ,704000,520 ,1185000,1450000,-18.28,718000,710000,1.13,0,0,6,0,1,0,1,0
2153,Bella Vista,North-west,27.4,-33.73795999999993,150.95551000000015,7837,,,250,1517000,750 ,no data,605 ,1525000,1736000,-12.15,938500,1200000,-21.79,0,0,4,0,2,0,0,0
2518,Bellambi,South-west,61.9,-34.36907999999994,150.9175100000001,3947,,,726,745000,460 ,492500,340 ,745500,775000,-3.81,466500,477500,-2.3,0,0,0,0,1,0,0,0
2325,Bellbird,North,113.0,-32.86018999999993,151.32005000000004,2032,265.0,7.6555 ,138,351000,350 ,no data,no data,363500,341500,6.44,0,0,0.0,0,0,0,0,1,0,0,0
2023,Bellevue Hill,East,5.3,-33.87884999999994,151.2540700000001,10716,,,282,5537500,"2,398 ",1100000,695 ,5750000,5450000,5.5,1165000,1200000,-2.92,0,0,3,0,1,0,2,0
2280,Belmont,North-east,101.7,-33.036009999999976,151.6602600000001,7114,808.0,8.8 ,972,595000,415 ,502000,350 ,622500,623750,-0.2,512500,462500,10.81,1,0,7,1,0,0,4,0
2192,Belmore,West,12.3,-33.919219999999946,151.09312000000008,12718,,,987,1050000,600 ,519000,400 ,970000,1160000,-16.38,530000,524000,1.15,1,0,10,0,0,0,0,0
2085,Belrose,North,14.2,-33.72856999999993,151.22090000000003,8780,,,213,1495000,"1,000 ",707500,565 ,1525000,1625000,-6.15,765000,755000,1.32,0,0,1,0,0,0,2,0
2141,Berala,West,16.3,-33.869189999999946,151.0348600000001,9049,,,370,850000,500 ,490000,390 ,860000,996000,-13.65,490000,475000,3.16,0,0,4,0,0,0,3,1
2261,Berkeley Vale,North,62.1,-33.341819999999984,151.4312500000001,8355,2089.0,4 ,446,575000,430 ,301500,303 ,580000,583000,-0.51,306500,370000,-17.16,0,0,0,0,1,0,1,0
2081,Berowra,North,27.6,-33.623639999999966,151.15048000000004,4721,543.0,8.7 ,350,1125000,630 ,no data,no data,1130000,1155000,-2.16,852500,0,0.0,1,0,5,0,2,0,1,4
2082,Berowra Heights,North,29.3,-33.61167999999998,151.13769000000005,5264,,,55,932500,580 ,no data,no data,1000000,1150000,-13.04,770000,815806,-5.61,0,0,5,1,0,0,3,0
2082,Berowra Waters,North,30.6,-33.60266986699997,151.12139706300002,120 (2016 Census)[1],,,10,no data,no data,no data,no data,0,0,0.0,0,0,0.0,0,0,2,0,1,0,0,1
2159,Berrilee,North,29.8,-33.614229999999964,151.10279000000003,224,,,8,no data,no data,no data,no data,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0
2535,Berry,South-west,111.5,-34.774999999999984,150.69296000000008,2667,,,139,1410000,543 ,no data,470 ,1400000,1200000,16.67,575000,609000,-5.58,0,0,9,2,0,0,5,0
2217,Beverley Park,South-west,13.9,-33.975469999999966,151.1319000000001,2393,,,103,1300000,640 ,no data,560 ,1325000,1617000,-18.06,0,1432500,-100.0,1,0,3,1,0,0,2,0
2209,Beverly Hills,South-west,14.8,-33.946929999999945,151.08014000000003,10156,,,600,1150000,595 ,647000,460 ,1165000,1321500,-11.84,650000,730000,-10.96,1,0,10,1,1,0,1,0
2207,Bexley,South-west,11.7,-33.95088999999996,151.1255500000001,19733,,,581,1100000,590 ,670000,450 ,1115500,1345000,-17.06,685000,652000,5.06,0,0,2,0,1,0,2,0
