Suburb,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Emerton,0,0,4,0,3,0,2,0
Emu Heights,0,0,1,0,0,0,0,0
Emu Plains,0,0,2,1,1,0,2,0
Enfield,0,0,5,0,1,0,5,0
Engadine,1,0,7,0,1,0,4,0
Englorie Park,0,0,4,0,1,0,4,0
Epping,0,0,1,0,1,0,0,1
Erina,0,0,12,0,2,0,7,0
Erina Heights,0,0,4,0,0,0,0,0
Ermington,0,0,8,0,0,1,2,1
Erskine Park,0,0,3,0,0,0,3,0
Erskineville,1,0,6,6,0,0,1,0
Eschol Park,0,0,0,0,1,0,1,0
Ettalong Beach,0,0,1,2,2,0,2,1
Eveleigh,1,0,12,4,2,1,4,0
Fairfield,1,0,11,1,1,0,4,0
Fairfield East,2,0,2,0,1,0,1,0
Fairfield Heights,0,0,2,0,1,0,2,0
Fairfield West,0,0,3,0,1,0,3,0
Fairlight,0,0,2,0,2,0,3,0
Fairy Meadow,0,0,2,0,0,0,1,1
Faulconbridge,0,0,2,0,0,0,1,0
Fennell Bay,0,0,1,0,0,0,1,0
Fernhill,0,0,2,1,0,0,0,0
Figtree,0,0,1,1,1,0,1,1
Five Dock,0,0,15,1,1,0,2,2
Forest Lodge,0,0,8,3,3,0,2,0
Forestville,0,0,4,0,0,0,2,0
Forresters Beach,0,0,1,0,0,0,2,0
Freemans Reach,0,0,1,0,0,0,2,0
Frenchs Forest,0,0,3,0,0,0,1,0
Freshwater,0,0,11,1,2,0,2,0
Galston,0,0,3,1,0,0,3,0
Garden Suburb,0,0,1,0,0,0,1,1
Gerringong,0,0,6,0,0,0,2,0
Gerroa,0,0,1,1,2,0,0,0
Girraween,0,0,1,0,1,0,2,0
Gladesville,0,0,13,1,0,0,3,0
Glebe,0,0,21,6,4,0,2,3
Glen Alpine,0,0,2,0,1,0,1,0
Glenbrook,1,0,7,1,1,0,1,2
Glendale,0,0,0,0,0,0,2,0
Glendenning,0,0,1,0,0,0,0,0
Glenfield,0,0,2,0,0,0,0,3
Glenhaven,0,0,2,0,0,0,2,0
Glenmore Park,0,0,1,0,0,0,0,0
Glenorie,0,0,1,1,0,0,2,0
Glenwood,0,0,2,0,0,0,2,0
Gordon,0,0,0,0,0,0,1,0
Gosford,0,0,6,0,1,0,1,0
Granville,0,0,7,0,0,0,1,2
Grasmere,0,0,1,0,0,0,0,0
Grays Point,0,0,3,0,2,0,2,0
Great Mackerel Beach,0,0,0,0,1,0,0,1
Green Valley,0,0,3,0,1,0,2,0
Greenacre,0,0,5,0,0,0,7,0
Greenfield Park,0,0,1,1,0,0,1,0
Greenwich,0,0,1,0,0,0,2,1
Gregory Hills,0,0,1,0,1,0,1,0
Greystanes,0,0,2,0,1,0,0,0
Grose Vale,0,0,1,0,0,0,0,0
Guildford,0,0,3,0,0,1,1,0
Guildford West,0,0,2,1,0,0,1,1
Gwandalan,0,0,0,0,3,0,2,0
Gwynneville,1,0,4,0,1,1,0,0
Gymea,1,0,9,1,1,0,1,1
Gymea Bay,0,0,1,1,1,0,0,0
Haberfield,0,0,11,0,0,0,1,0
Hamilton,0,0,24,4,0,0,3,1
