loss,params,iteration,train_time
0.6916501898346264,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.777122803015147, 'random_strength': 2.266796675226244, 'learning_rate': 0.07322911431382673, 'iterations': 200, 'depth': 10}",29,1509.3825546119988
0.6860156766833845,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.920664360127365, 'random_strength': 2.799483637077963, 'learning_rate': 0.1046900645411309, 'iterations': 200, 'depth': 10}",30,2151.092947768004
0.6845146016264871,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 9.16627833365677, 'random_strength': 2.110305788096013, 'learning_rate': 0.15961644718955048, 'iterations': 200, 'depth': 9}",31,1684.036654938005
0.681681617522345,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.479000308471695, 'random_strength': 2.448959045181014, 'learning_rate': 0.10361070860926291, 'iterations': 200, 'depth': 10}",32,1799.7395148880023
0.6860215049582771,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.855450099786467, 'random_strength': 1.022631738687072, 'learning_rate': 0.06245979947144666, 'iterations': 200, 'depth': 8}",33,411.9936497289964
0.6765635882052503,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.0454233367061505, 'random_strength': 1.4643717935764395, 'learning_rate': 0.15986138739772038, 'iterations': 200, 'depth': 9}",34,1129.0765035669974
0.6991932732766126,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 3.6218045818183957, 'random_strength': 1.4496987273541473, 'learning_rate': 0.04708838739422355, 'iterations': 200, 'depth': 9}",35,490.14738633100205
0.7155668053255078,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 5.999702086114327, 'random_strength': 1.2034364211473725, 'learning_rate': 0.014884340828683697, 'iterations': 200, 'depth': 9}",36,613.5752636049947
0.6921017697262508,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 4.879363961130365, 'random_strength': 1.555150627935708, 'learning_rate': 0.19760916232670986, 'iterations': 200, 'depth': 8}",37,567.3441875950011
0.6946314209210819,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 5.815356026026166, 'random_strength': 2.8679434813354865, 'learning_rate': 0.06764975653932886, 'iterations': 200, 'depth': 9}",38,602.4584332130034
0.6808997330165562,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.845210980705107, 'random_strength': 1.216495701670706, 'learning_rate': 0.09236671085840766, 'iterations': 200, 'depth': 9}",39,900.3089004479989
0.6855858899121405,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.226283298187529, 'random_strength': 3.6231812083329844, 'learning_rate': 0.11881147529937756, 'iterations': 200, 'depth': 8}",40,447.15407346899883
0.6791144897615484,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 8.776947543634865, 'random_strength': 1.0099326529434793, 'learning_rate': 0.15653344666343202, 'iterations': 200, 'depth': 10}",41,3733.536870318996
